  CH2O -> H+HCO JPL 97 P 169 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  7.49E-02  3.74E-01  6.74E-01  7.50E-01 
  7.52E-01  7.53E-01  7.53E-01  7.53E-01  7.51E-01  7.49E-01  7.47E-01 
  7.44E-01  7.40E-01  7.35E-01  7.29E-01  7.20E-01  7.04E-01  6.88E-01 
  6.66E-01  6.41E-01  6.17E-01  5.91E-01  5.65E-01  5.25E-01  4.70E-01 
  4.12E-01  3.01E-01  1.30E-01  1.80E-02  5.00E-04  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00 
  CH2O -> H2+CO JPL 97 P 169 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  2.51E-02  1.25E-01  2.26E-01  2.50E-01 
  2.48E-01  2.47E-01  2.47E-01  2.47E-01  2.49E-01  2.51E-01  2.53E-01 
  2.56E-01  2.60E-01  2.65E-01  2.71E-01  2.80E-01  2.96E-01  3.12E-01 
  3.32E-01  3.52E-01  3.74E-01  3.96E-01  4.18E-01  4.51E-01  5.01E-01 
  5.58E-01  6.66E-01  7.34E-01  6.35E-01  5.02E-01  3.71E-01  2.31E-01 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
  0.00E+00 
  NO3 -> NO2 + O 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00  0.90E+00 
  0.90E+00  0.90E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00        
  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00        
  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00        
  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00  1.00E+00        
  1.00E+00  1.00E+00  1.00E+00  1.00E+00  0.83E+00  0.65E+00  0.58E+00        
  0.51E+00  0.43E+00  0.36E+00  0.29E+00  0.22E+00  0.14E+00  0.07E+00        
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00   
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00   
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00   
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00   
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00   
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00   
  0.00E+00
  NO3 -> NO + O2 
  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00 
